filename,original_filename,new_filename,style_cd,style_category,ring_type,cstone_shape,chain_type,metal_color,metal_type,gender,collection,is_set,earring_type,stud_subtype,setting,diameter,hoop_subtype,image_url,tagger,comments,cant_view_image,view,center_setting,side_setting
R11093SSCZ_2.jpg,R11093SSCZ_2.jpg,,R11093SSCZ,RING,ENGAGEMENT,"PRINCESS, ROUND",,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R11093SSCZ_2.jpg,,,False,,,
R3184W_3.jpg,R3184W_3.jpg,,R3184W,RING,FASHION,PRINCESS,,W,14KT,LADIES,,True,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R3184W_3.jpg,,,False,,,
R9853_3.jpg,R9853_3.jpg,,R9853,RING,FASHION,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R9853_3.jpg,,,False,,,
N1831_1.jpg,N1831_1.jpg,,N1831,NECKLACE,,CUSHION,,W,14KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/N1831_1.jpg,,,False,,,
R11578_6.jpg,R11578_6.jpg,,R11578,RING,WEDDING,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R11578_6.jpg,,,False,,,
P3233_1.jpg,P3233_1.jpg,,P3233,PENDANT,,ROUND,,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/pendants/P3233_1.jpg,,,True,,,
R16117_1.jpg,R16117_1.jpg,,R16117,RING,,,,,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R16117_1.jpg,,,False,,,
R10190_2.jpg,R10190_2.jpg,,R10190,RING,FASHION,ROUND,,,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R10190_2.jpg,,,False,,,
BG1992_1.jpg,BG1992_1.jpg,,BG1992,BANGLE,,ROUND,,,10KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bangles/BG1992_1.jpg,,,False,,,
R7003W_2.jpg,R7003W_2.jpg,,R7003W,RING,,ROUND,,W,14KT,LADIES,Unknown,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R7003W_2.jpg,,,False,,,
B3409_1.jpg,B3409_1.jpg,,B3409,BRACELET,,CUSHION,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bracelets/B3409_1.jpg,,,True,,,
B2519_2.jpg,B2519_2.jpg,,B2519,BRACELET,,ROUND,,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bracelets/B2519_2.jpg,,,False,,,
R16082_1.jpg,R16082_1.jpg,,R16082,RING,FASHION,"OVAL, PEAR",,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R16082_1.jpg,,,False,,,
R2170W_1.jpg,R2170W_1.jpg,,R2170W,RING,FASHION,"ROUND, MARQUISE, PRINCESS",,W,14KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R2170W_1.jpg,,,False,,,
R11722_3.jpg,R11722_3.jpg,,R11722,RING,ENGAGEMENT,ROUND,,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R11722_3.jpg,,,False,,,
E0679TT_1.jpg,E0679TT_1.jpg,,E0679TT,EARRING,,PEAR,,Y,14KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E0679TT_1.jpg,,,False,,,
R16441_1.jpg,R16441_1.jpg,,R16441,RING,,ROUND,,Y,SILV,GENTS,,True,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R16441_1.jpg,,,False,,,
